id,name,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
991765,Country living in the Mission!,Jennifer,Mission,37.75570344,-122.4115061,Entire home/apt,250,0,0,0,3,69,30,97,0.65
14981892,Quiet well-located Mission 1BR,Michael S,Mission,37.75356104,-122.4107865,Entire home/apt,275,40,0,0,0,0,4,80,0.65
15328485,10.3 - Great room in the Mission district!,Manuel,Mission,37.76830528,-122.420741,Private room,70,15,20,20,20,20,34,90,5.64
8833630,Private Mission Room next to BART,Grayson,Mission,37.75279882,-122.4166892,Private room,75,0,0,0,0,0,2,90,0.13
1499630,The Yellow Vic – Yay Mission!,Val,Mission,37.74994308,-122.4164356,Entire home/apt,250,75,0,0,0,118,13,98,0.3
1970257,Classic Edwardian home w/leafy backyard in Mission,Eoin & Susie,Mission,37.75114043,-122.4078588,Entire home/apt,240,50,0,0,0,0,10,98,0.47
487499,Mission District - Perfect Location,Daniel,Mission,37.76098575,-122.4218298,Entire home/apt,195,80,0,9,23,96,168,96,2.91
3377847,THE MISSION~QUEEN BED,Hannah,Mission,37.75717107,-122.409813,Private room,60,0,0,0,0,0,1,94,0.03
41399,"Heart of San Francisco, the Mission",Anton,Mission,37.75610669,-122.4186619,Entire home/apt,290,120,11,41,71,346,55,96,1.02
13636515,"Test!@#%^&*()-+'"";<img onerror=alert(1) src=",Maximilian,Mission,37.76510651,-122.4064693,Private room,66,10,0,0,0,0,0,-1,-1
16900525,Sunny Mission Victorian with Contemporary Flair,Scott,Mission,37.75368076,-122.4205052,Entire home/apt,249,60,13,31,61,61,4,100,3
680288,Cozy Mission Garden Rooms,Ken,Mission,37.75192025,-122.4136513,Entire home/apt,140,50,0,10,22,234,173,97,3.13
11939561,Private Mission Garden Studio,Tiffany,Mission,37.75176801,-122.4154344,Entire home/apt,160,50,11,23,47,113,29,98,3.69
57676,"Bartlett Gardens: Spacious, bright!",Jessica And Sebouh,Mission,37.75762489,-122.4193257,Private room,99,75,2,32,62,315,60,95,0.83
1859925,"Small Cozy Room, Ideal Location",Julia,Mission,37.75776588,-122.4195127,Private room,60,0,0,0,0,0,3,96,0.09
10494263,Penthouse Mission Apartment,Lizette,Mission,37.75628493,-122.4234923,Private room,150,25,30,60,90,365,0,-1,-1
100710,Stylish Living in Liberty Hill,Jonathan,Mission,37.75629056,-122.4251775,Entire home/apt,450,0,0,0,0,139,8,100,0.12
41743,Full Apt in Hippest SF Neighborhood,Steven,Mission,37.76789362,-122.4200106,Entire home/apt,300,0,0,0,0,0,7,83,0.09
10989476,Fantastic Mission Room,Kimberly,Mission,37.75815049,-122.4209271,Private room,175,50,0,0,0,0,0,-1,-1
10972053,Bright Beautiful 2BR Condo w/ Views,Ziyan,Mission,37.75870508,-122.4092541,Entire home/apt,800,0,0,0,0,0,1,100,0.07
13714899,Noe/Mission Victorian Flat,Marci,Mission,37.75362764,-122.4240429,Entire home/apt,199,100,8,33,63,335,27,99,3.08
664315,Home in the Heart of the Mission,Geoff,Mission,37.7531555,-122.4212498,Entire home/apt,950,300,30,60,90,365,4,100,0.09
12575461,Mission District Pied-à-terre,Joshua,Mission,37.75195465,-122.423666,Entire home/apt,195,75,14,37,51,141,31,95,3.16
4236013,Spacious Victorian in the Mission,Ryan,Mission,37.75277277,-122.4150602,Private room,120,0,0,0,0,0,0,-1,-1
2236694,Mission bedroom in Garden Apartment,Alexander & Justin,Mission,37.7508266,-122.4107258,Private room,95,35,11,27,41,286,91,98,2.47
778520,Incredible place in hippest SF hood,Sc,Mission,37.76845124,-122.422279,Private room,129,24,11,41,71,332,56,94,1.16
1062497, PRIVATE RM 4 1 nxt 2 Dolores Park,Giovanna,Mission,37.76312154,-122.4258955,Private room,200,30,30,60,90,365,4,98,0.09
16467328,Cozy bedroom in old Victorian,Dmitri,Mission,37.75397923,-122.4120546,Private room,55,0,0,0,0,0,7,89,2.12
15409400,Lucky Street retreat- 2 bdrm home with 2 decks,Jess,Mission,37.7509893,-122.4123912,Entire home/apt,180,80,0,1,1,1,12,100,2.13
9281778,Spacious Sunny 2BD Mission Paradise,Jared,Mission,37.75125908,-122.41959,Entire home/apt,182,85,0,0,0,0,4,100,0.23
1695983,HUGE Valencia St. 4BR Victorian,Jason,Mission,37.75442495,-122.4225268,Entire home/apt,450,150,0,0,0,0,1,100,0.04
2629833,Dolores Delight,Josh,Mission,37.75392028,-122.4250217,Entire home/apt,232,80,0,16,16,249,64,95,1.88
2927781,"great modern space, great location!",Charles & René,Mission,37.76715056,-122.4175619,Private room,189,25,22,47,71,342,82,99,2.32
1417398,Private Room in Sunny Cottage with Private Bath,Catherine And Gabe,Mission,37.75725607,-122.4125369,Private room,110,35,7,12,27,27,118,96,2.64
16518555,Bright Mission flat near eateries,Anna,Mission,37.75678598,-122.4117116,Entire home/apt,225,0,0,3,3,25,0,-1,-1
3073393,Sunny Modern Mission Flat w/ 3 BDs,Steve And Rebecca,Mission,37.76258743,-122.4246365,Entire home/apt,425,125,13,38,65,330,67,92,2.02
6119683,Suite in the middle of it all,Dino,Mission,37.76181574,-122.4214326,Private room,199,0,6,24,37,118,64,98,3.14
14165362,"Charming, Large Room in the Mission",Brittany,Mission,37.75857146,-122.4090347,Private room,115,8,0,0,0,0,6,97,0.74
9028989,Cozy Queen Bed Mission District,Beebe,Mission,37.76506038,-122.4252117,Private room,45,0,0,0,0,0,1,80,0.06
7823524,"Beautiful, sunny room in Mission",Elise,Mission,37.75465206,-122.4108748,Private room,99,0,0,0,0,0,0,-1,-1
16101403,Dolores apartment,John,Mission,37.74901877,-122.4248465,Entire home/apt,120,100,0,0,0,0,3,87,1.05
4825217,Hip and spacious near Dolores Park,Miles,Mission,37.7665383,-122.4239299,Entire home/apt,224,60,0,0,0,0,25,98,1.47
